task,taskSettings,findings,name,complianceRuleCalc,is_enabled,tpaAdditionalParams,apps,status,owner,presets,action,type,id,description,actions,severity,category
61967eb235e1020014d3ff5e,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 543, 'calcDate': '2023-05-19T12:52:58.229Z'}",GDPR - Financial PII,"{'bigidQuery': 'field IN (""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.Income"", ""classifier.Income (Wide)"", ""classifier.Credit Card"", ""classifier.Credit Card (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Masked Credit Card Number near Term"", ""classifier.Last Four Credit Card Number Digits"", ""classifier.Card verification value (CVV)"", ""classifier.Personal identification number (PIN)"", ""classifier.Card verification value (CVV) near Expiration date"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.EU or EEA IBAN"", ""classifier.Loan ID Number"", ""classifier.UnionPay Credit Card Number"", ""classifier.MD::Credit Card - MD"", ""classifier.MD::Bank Account Number - MD"", ""classifier.MD::Card verification value (CVV) - MD"", ""Credit Card Number"", ""Credit Card Expiration Date"", ""Bank Account Number"", ""Customer Account Number"", ""Customer Purchase History"", ""Financial Transactions History"", ""Bank Code"", ""SWIFT Code"", ""CVV"", ""Income"", ""Financial Information"", ""Expense"", ""Salary"", ""International Bank Account Number (IBAN)"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd75e,Financial information that is relating to an identified or identifiable natural person is protected by the EU's General Data Protection Regulation (GDPR).,[],medium,GDPR
61967eac35e1020014d3ff5b,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 9815, 'calcDate': '2023-05-19T12:52:58.281Z'}",GDPR - Electronic PII,"{'bigidQuery': 'field IN (""classifier.Email"", ""classifier.Public IPv4 Address"", ""classifier.IPv6"", ""classifier.IMEI"", ""classifier.MAC Address"", ""classifier.Android ID"", ""classifier.Apple IDFA"", ""classifier.MD::Username - MD"", ""Email"", ""IP Address"", ""International Mobile Equipment Identity (IMEI)"", ""MAC Address"", ""Advertising ID"", ""Cookie Identifiers"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd75f,Electronic information that is relating to an identified or identifiable natural person is protected by the EU's General Data Protection Regulation (GDPR).,[],medium,GDPR
61967e0a35e1020014d3ff30,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 9815, 'calcDate': '2023-05-19T12:52:58.290Z'}",CCPA - Electronic PII,"{'bigidQuery': 'field IN (""classifier.Email"", ""classifier.Public IPv4 Address"", ""classifier.IPv6"", ""classifier.IMEI"", ""classifier.MAC Address"", ""classifier.Android ID"", ""classifier.Apple IDFA"", ""classifier.MD::Username - MD"", ""Email"", ""IP Address"", ""International Mobile Equipment Identity (IMEI)"", ""MAC Address"", ""Advertising ID"", ""Cookie Identifiers"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd760,"The California Consumer Privacy Act (CCPA) defines some electronic information as 'Personal information', such as online identifiers and email addresses.",[],medium,CCPA
61967e1635e1020014d3ff36,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 1537, 'calcDate': '2023-05-19T12:52:58.271Z'}",CCPA - ID Numbers,"{'bigidQuery': 'field IN (""classifier.US SSN"", ""classifier.US SSN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Masked US SSN near Term"", ""classifier.Last Four US SSN Digits"", ""classifier.US Passport Number"", ""classifier.California Driver License Number"", ""classifier.US Adoption Taxpayer Identification Number (ATIN)"", ""classifier.US PTIN near Term"", ""classifier.US EIN near Term"", ""classifier.US MBI"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.ITIN near Term"", ""classifier.US Visa Number"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd761,"The California Consumer Privacy Act (CCPA) defines some ID numbers as 'Personal information', such as social security numbers or other similar identifiers.",[],medium,CCPA
61967ec235e1020014d3ff62,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 27, 'calcDate': '2023-05-19T12:52:58.285Z'}",GDPR - ID Numbers,"{'bigidQuery': 'field IN (""classifier.UK NINo"", ""classifier.Belgium National Number"", ""classifier.France INSEE"", ""classifier.French NEPH"", ""classifier.Sweden Id Number"", ""classifier.UK NHS Number"", ""classifier.German Ausweisnummer"", ""classifier.Germany Driver License Number"", ""classifier.UK UTR"", ""classifier.German Tax ID Number"", ""classifier.Dutch BSN"", ""classifier.Norwegian Birth number"", ""classifier.Finnish Personal Identity Code"", ""classifier.Spanish DNI Number"", ""classifier.Spanish Driver License Number"", ""classifier.Polish PESEL Number"", ""classifier.Italian Codice Fiscale"", ""classifier.French SIRET Number"", ""classifier.Portuguese Document Number"", ""classifier.Portuguese Social Security Number (NISS)"", ""classifier.Portuguese Tax Number (NIF) of Individuals"", ""classifier.French Passport Number"", ""classifier.German Passport Number"", ""classifier.Austrian Social Security Number"", ""classifier.Greek Taxpayer Identification Number (AFM)"", ""classifier.Irish Personal Public Service Number (PPS Number)"", ""classifier.French National Identity Card Number (CNI) near Term"", ""classifier.Italian Identity Card Number (CIE) near Term"", ""classifier.Italian Driver\'s License Number near Term"", ""classifier.Spanish Social Security Number (NUSS)"", ""classifier.Spanish Passport Number near Term"", ""classifier.Spanish Passport Number near Term (Wide)"", ""classifier.Italian Passport Number near Term"", ""classifier.French Driver\'s License Number near Term"", ""classifier.Swedish Coordination Number"", ""classifier.Dutch RSIN"" ,""classifier.French SIREN Number"", ""classifier.French Tax Number"", ""classifier.Dutch Passport Number near Term"", ""classifier.Irish VAT Number"", ""classifier.Dutch VAT Number"", ""classifier.French VAT Number"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""EU ID Number"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd762,The EU's General Data Protection Regulation (GDPR) defines identification numbers as 'personal data'.,[],medium,GDPR
61967ec735e1020014d3ff65,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 27, 'calcDate': '2023-05-19T12:52:58.289Z'}",GDPR - Passwords,"{'bigidQuery': 'field IN (""classifier.Tokens, Keys and Secrets"", ""classifier.Product Keys"", ""classifier.Explicit Password"", ""classifier.Common Hashed Passwords"", ""classifier.Username and Explicit Password"", ""classifier.Cleartext Password near Term"", ""classifier.Email and Cleartext Password"", ""classifier.Explicit Password (Narrow)"", ""classifier.Tokens, Keys and Secrets (Narrow)"", ""classifier.MD::Password - MD"", ""classifier.MD::Personal Identification Number (PIN) - MD"", ""Token"", ""Product Key"", ""Password"", ""PIN"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd763,"Passwords, tokens, keys, secrets and PINs that identify and relate to consumers are protected by the EU's General Data Protection Regulation (GDPR).",[],medium,GDPR
61967e1c35e1020014d3ff39,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 27, 'calcDate': '2023-05-19T12:52:58.297Z'}",CCPA - Passwords,"{'bigidQuery': 'field IN (""classifier.Tokens, Keys and Secrets"", ""classifier.Product Keys"", ""classifier.Explicit Password"", ""classifier.Common Hashed Passwords"", ""classifier.Username and Explicit Password"", ""classifier.Cleartext Password near Term"", ""classifier.Email and Cleartext Password"", ""classifier.Explicit Password (Narrow)"", ""classifier.Tokens, Keys and Secrets (Narrow)"", ""classifier.MD::Personal Identification Number (PIN) - MD"", ""classifier.MD::Password - MD"", ""Token"", ""Product Key"", ""Password"", ""PIN"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd764,"Passwords, tokens, keys, secrets and PINs that identify and relate to consumers are protected by the California Consumer Privacy Act (CCPA).",[],medium,CCPA
63e39893e9c837001204b36f,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 27, 'calcDate': '2023-05-19T12:52:58.301Z'}",Security - Passwords,"{'bigidQuery': 'field IN (""classifier.Azure DevOps Personal Access Token"", ""classifier.Azure Subscription Key"", ""classifier.Azure Subscription Management Certificate"", ""classifier.Azure Storage Account Access Key"", ""classifier.AWS Access Key ID"", ""classifier.AWS Access Key ID for STS Service Bearer Token"", ""classifier.AWS Access Key ID for IAM User"", ""classifier.AWS Access Key ID for Public Key"", ""classifier.AWS Access Key ID for Role"", ""classifier.AWS Access Key ID for Certificate"", ""classifier.AWS Access Key ID for Temporary (AWS STS) Key"", ""classifier.AWS Access Key ID for Context-Specific Credential"", ""classifier.AWS Secret Access Key near Term"", ""classifier.AWS Secret Access Key near AWS Access Key ID"", ""classifier.Explicit Password (Narrow)"", ""classifier.Tokens, Keys and Secrets (Narrow)"", ""classifier.Tokens, Keys and Secrets"", ""classifier.Product Keys"", ""classifier.Explicit Password"", ""classifier.Common Hashed Passwords"", ""classifier.Username and Explicit Password"", ""classifier.Cleartext Password near Term"", ""classifier.Email and Cleartext Password"", ""classifier.MD::Password - MD"", ""classifier.MD::Personal Identification Number (PIN) - MD"", ""Token"", ""Product Key"", ""Password"", ""PIN"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd765,"Passwords and related identifiers such as tokens, keys, secrets and PINs are private and confidential personal information and are the most common data that is stolen by hackers, and should be kept in safe locations.",[],medium,Secrets & Keys
6196802f35e1020014d40012,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 542, 'calcDate': '2023-05-19T12:52:58.308Z'}",PCI DSS,"{'bigidQuery': 'field IN (""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.Credit Card"", ""classifier.Credit Card (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Masked Credit Card Number near Term"", ""classifier.Last Four Credit Card Number Digits"", ""classifier.Card verification value (CVV)"", ""classifier.Personal identification number (PIN)"", ""classifier.Card verification value (CVV) near Expiration date"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.UnionPay Credit Card Number"", ""classifier.MD::Credit Card - MD"", ""classifier.MD::Personal Identification Number (PIN) - MD"", ""classifier.MD::Card verification value (CVV) - MD"", ""Credit Card Number"", ""Credit Card Expiration Date"", ""PIN"", ""CVV"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd766,"The Payment Card Industry Data Security Standard (PCI DSS) sets guidelines in order to protect cardholder data, such as credit card numbers and credit card expiration date and sensitive authentication data, such as the PIN and the Card security code (CSC; Also known as CVV).",[],medium,PCI DSS
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': False, 'findingsAmt': 0, 'calcDate': '2023-05-19T12:52:58.308Z'}",GDPR - IBANs,"{'bigidQuery': 'field IN (""classifier.EU or EEA IBAN"", ""classifier.Austrian IBAN"", ""classifier.Belgian IBAN"", ""classifier.Bulgarian IBAN"", ""classifier.Croatian IBAN"", ""classifier.Cypriot IBAN"", ""classifier.Czech IBAN"", ""classifier.Danish IBAN"", ""classifier.Dutch IBAN"", ""classifier.Estonian IBAN"", ""classifier.Finnish IBAN"", ""classifier.French IBAN"", ""classifier.German IBAN"", ""classifier.Greek IBAN"", ""classifier.Hungarian IBAN"", ""classifier.Irish IBAN"", ""classifier.Italian IBAN"", ""classifier.Latvian IBAN"", ""classifier.Lithuanian IBAN"", ""classifier.Luxembourgish IBAN"", ""classifier.Maltese IBAN"", ""classifier.Polish IBAN"", ""classifier.Portuguese IBAN"", ""classifier.Romanian IBAN"", ""classifier.Slovak IBAN"", ""classifier.Slovene IBAN"", ""classifier.Spanish IBAN"", ""classifier.Swedish IBAN"", ""classifier.UK IBAN"", ""classifier.Icelandic IBAN"", ""classifier.Liechtensteiner IBAN"", ""classifier.Norwegian IBAN"", ""classifier.Gibraltarian IBAN"")', 'maxFindings': '1'}",True,,,UNVIOLATED,bigidadmin,[],,catalog,5d8b0fbd9a8e3646adca4a53,Financial information related to an identified or identifiable natural person is protected by the EU's General Data Protection Regulation (GDPR). This includes the international bank account numbers (IBANs) of member states of the EU and the European Economic Area (EEA).,[],medium,GDPR
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': False, 'findingsAmt': 0, 'calcDate': '2023-05-19T12:52:58.318Z'}",HIPAA,"{'bigidQuery': 'field IN (""classifier.Current Procedural Terminology (CPT) Code near Term"", ""classifier.ICD-10 Procedure Coding System (PCS) Code near Term"", ""classifier.US MBI"", ""classifier.Medical Condition (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Medication (English)"", ""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.Patient ID Number"", ""classifier.Admission Date"", ""classifier.Discharge Date"", ""classifier.ICD-10-CM Code"", ""classifier.ICD-10-CM Code near Term"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""Medical Record Number"", ""classifier.MD::Patient ID Number - MD"", ""Health Plan Beneficiary Number"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Drugs"", ""Blood Type"", ""Admission Date"", ""Discharge Date"", ""ICD Code"", ""ICD Description"", ""Health Information"", ""Medical Treatment"", ""Medical Condition"", ""Health Insurance Information"", ""Medication"")', 'maxFindings': '1'}",True,,,UNVIOLATED,bigidadmin,[],,catalog,5df89fcb8181b08f72fbf20e,"The Health Insurance Portability and Accountability Act (HIPAA) aims to prevent the wrongful disclosure of individually identifiable health information that relates to the past, present, or future physical or mental health or condition of an individual and identifies the individual.",[],medium,HIPAA
